,listing_id,num_rooms,square_meters,renovation,ceiling_height,garbage_chute,house_size,flat_floor,type_of_building,price_per_month,deposit,utility_bills,rental_period,prepayment,metro,balcony_count,loggia_count,combined_bathroom_count,separated_bathroom_count,windows_street,windows_yard,kids_allowded,pets_allowded,is_dishwasher,is_internet,is_air_conditioner,is_bathtub,is_shower,is_tv,is_furniture_in_kitchen,is_washing_machine,is_furniture_in_rooms,is_fridge,is_phone,passenger_elevator_capacity,cargo_elevator_capacity,square_meters_rounded,parking_mult_lev,roof_parking,ground_parking,parking_unknown,parking_open,undergr_parking
0,271173086,4.0,200.0,2,3.2,0,16,5,0.13204392174349255,500000.0,500000.0,0.0,0,1.0,0.006075469594782899,0,0,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,200.0,0,0,0,0,0,1
1,272197456,4.0,170.0,2,3.2,0,6,5,0.13204392174349255,400000.0,400000.0,0.0,0,1.0,0.006075469594782899,0,0,3,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,170.0,0,0,0,0,0,1
2,273614615,2.0,58.0,2,3.9,1,26,12,0.3552198874087286,225000.0,225000.0,0.0,0,1.0,0.003790201215093919,0,0,2,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,60.0,0,0,0,1,0,0
3,274837728,3.0,92.0,1,2.64,0,7,3,0.13204392174349255,470000.0,470000.0,0.0,0,2.0,0.006075469594782899,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,90.0,0,0,0,1,0,0
5,274475342,3.0,98.0,2,3.2,0,4,2,0.17852962488155621,250000.0,250000.0,0.0,0,1.0,0.006075469594782899,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,100.0,0,0,0,0,0,1
6,273973191,3.0,120.0,2,3.0,0,10,5,0.007636140683350984,130000.0,130000.0,0.0,0,1.0,0.006075469594782899,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,120.0,0,0,0,0,1,0
8,271036964,4.0,170.0,2,3.2,0,7,6,0.13204392174349255,290000.0,290000.0,0.0,0,1.0,0.006075469594782899,0,0,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,170.0,0,0,0,0,0,1
9,273999490,3.0,80.0,2,2.64,0,8,4,0.19240844991917952,100000.0,110000.0,0.0,0,1.0,0.006075469594782899,3,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,80.0,0,0,0,1,0,0
10,274017037,3.0,100.0,1,2.64,0,4,2,0.19240844991917952,200000.0,200000.0,0.0,0,1.0,0.006075469594782899,0,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100.0,0,0,0,1,0,0
13,274995950,2.0,30.0,2,2.64,0,26,19,0.13204392174349255,120000.0,120000.0,0.0,0,1.0,0.003790201215093919,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,30.0,0,0,0,1,0,0
15,272911145,5.0,150.0,2,2.64,0,7,4,0.19240844991917952,180000.0,180000.0,0.0,0,1.0,5.573825316314587e-05,1,0,2,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,150.0,0,0,1,0,0,0
16,273941734,2.0,64.0,2,2.64,0,26,12,0.13204392174349255,205000.0,205000.0,0.0,0,1.0,0.003790201215093919,0,0,2,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,65.0,0,0,0,1,0,0
17,274493570,3.0,112.0,2,3.2,0,7,2,0.13204392174349255,230000.0,230000.0,0.0,0,1.0,0.003790201215093919,1,0,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,110.0,0,0,0,0,0,1
19,274391259,5.0,186.0,2,3.3,1,3,3,0.0030656039239730227,190000.0,190000.0,0.0,0,1.0,0.003790201215093919,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,185.0,0,0,0,0,1,0
20,272945376,3.0,100.0,2,3.2,0,8,3,0.13204392174349255,200000.0,200000.0,0.0,0,1.0,0.003790201215093919,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100.0,0,0,1,0,0,0
21,272612966,5.0,150.0,2,2.64,0,7,4,0.13204392174349255,200000.0,200000.0,0.0,0,1.0,0.003790201215093919,1,0,2,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,150.0,0,0,0,1,0,0
22,271568490,5.0,140.0,1,2.64,0,7,2,0.13204392174349255,300000.0,300000.0,0.0,0,1.0,0.006075469594782899,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,140.0,0,0,0,1,0,0
23,264664760,3.0,132.8,2,2.64,0,13,5,0.17852962488155621,400000.0,400000.0,0.0,0,1.0,0.003790201215093919,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,135.0,0,0,0,1,0,0
26,273353104,3.0,112.0,4,3.15,1,13,3,0.040633186555933336,350000.0,350000.0,0.0,0,1.0,0.006075469594782899,0,0,0,2,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,110.0,0,0,0,0,0,1
27,273353103,2.0,91.0,4,3.15,1,13,10,0.040633186555933336,400000.0,400000.0,0.0,0,1.0,0.006075469594782899,0,0,0,2,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,90.0,0,0,0,0,0,1
28,268321690,3.0,135.0,1,2.64,0,13,5,0.040633186555933336,400000.0,400000.0,0.0,0,1.0,0.003790201215093919,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,1,135.0,0,0,0,0,0,1
